,name,avg_minutes,sd_minutes
0,email_cloud,60.74244775925926,15.035351554266748
1,email_doe,33.71570365833333,8.261079681955236
2,email_dpo,42.828996678571436,14.180251400057653
3,email_freemail,45.66702286666666,6.507423117717737
4,email_harris,65.53866390238095,9.555301625591317
5,email_instructors,14.183033874074075,13.941064868688857
6,email_it_department,,
7,email_jane,60.30608275952381,15.208966449444098
8,email_kathy,63.04885733809523,11.897689839776486
9,email_lisa,58.89008557619047,8.88728381748669
10,email_peter,55.910410975,8.73086171799713
11,it_department_blocked,39.352519737499996,10.103754558096194
12,nice-project_traffic_blocked,48.09505333958334,16.142864162312108
13,nice-project_visited,33.39618728148148,15.860776876866543
